"Location ID","Location Name","Location Group","Location Type","Sensor ID","Place Open","Local Date/Time","UTC Date/Time","# of aggregated records","PM2.5 (μg/m³) raw","PM2.5 (μg/m³) corrected","0.3μm particle count","CO2 (ppm) raw","CO2 (ppm) corrected","Temperature (°C) raw","Temperature (°C) corrected","Heat Index (°C)","Humidity (%) raw","Humidity (%) corrected","TVOC (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)"
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 08:20:00","2025-09-17T01:20:00.000Z",2,37.6,37.6,5256,500,500,29.1,29.1,35.3,81,81,93,99,1,24.9,43.7
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 08:15:00","2025-09-17T01:15:00.000Z",1,30,30,3875,513,513,29,29,35.1,82,82,92,98,1,20.4,31.2
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 08:10:00","2025-09-17T01:10:00.000Z",2,30.1,30.1,4164,498,498,29,29,35.1,82,82,93,99,1,20.5,31.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 08:05:00","2025-09-17T01:05:00.000Z",2,28.3,28.3,4158,503,503,29,29,35.1,82,82,95,102,1,20.7,29.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:55:00","2025-09-17T00:55:00.000Z",2,27,27,3818,490,490,28.9,28.9,34.9,82,82,54,54,1,19.6,27.2
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:50:00","2025-09-17T00:50:00.000Z",1,29.2,29.2,4083,481,481,28.8,28.8,34.5,82,82,126,132,1,21,29.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:45:00","2025-09-17T00:45:00.000Z",1,29.1,29.1,4258,479,479,28.9,28.9,34.8,82,82,122,128,1,21.9,29.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:40:00","2025-09-17T00:40:00.000Z",2,27.7,27.7,3941,474,474,28.8,28.8,34.5,82,82,108,114,1,20.3,28.1
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:35:00","2025-09-17T00:35:00.000Z",2,29.4,29.4,4164,468,468,28.8,28.8,34.4,82,82,111,117,1,21,30.7
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:30:00","2025-09-17T00:30:00.000Z",1,29.9,29.9,4296,464,464,28.6,28.6,34,82,82,124,130,1,21.7,30.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:25:00","2025-09-17T00:25:00.000Z",2,29.5,29.5,4143,463,463,28.5,28.5,33.9,82,82,118,124,1,21,30.7
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:20:00","2025-09-17T00:20:00.000Z",2,29.2,29.2,4068,456,456,28.3,28.3,33.3,82,82,95,101,1,20.8,29.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:15:00","2025-09-17T00:15:00.000Z",1,26.9,26.9,3586,446,446,28.4,28.4,33.4,82,82,86,91,1,18.9,27.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:10:00","2025-09-17T00:10:00.000Z",2,24.3,24.3,3526,447,447,28.4,28.4,33.4,82,82,92,98,1,19,25.7
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:05:00","2025-09-17T00:05:00.000Z",2,26,26,3793,449,449,28.6,28.6,33.8,81,81,94,100,1,20,26.4
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 07:00:00","2025-09-17T00:00:00.000Z",1,26.2,26.2,3759,444,444,28.7,28.7,34,80,80,92,98,1,19.4,27
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 06:55:00","2025-09-16T23:55:00.000Z",2,29.4,29.4,4312,446,446,28.7,28.7,34,81,81,92,98,1,21.7,30.7
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 06:50:00","2025-09-16T23:50:00.000Z",2,29.3,29.3,4338,452,452,28.7,28.7,34.2,81,81,93,98,1,21.7,29.9
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 06:45:00","2025-09-16T23:45:00.000Z",1,30,30,4348,450,450,28.6,28.6,33.9,81,81,97,103,1,21.6,31.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 06:40:00","2025-09-16T23:40:00.000Z",2,29,29,4380,448,448,28.7,28.7,34,81,81,87,93,1,21.2,30.6
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 06:35:00","2025-09-16T23:35:00.000Z",2,30,30,4454,448,448,28.8,28.8,34.1,80,80,88,94,1,22,31.6
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 06:30:00","2025-09-16T23:30:00.000Z",1,29.2,29.2,4235,450,450,28.8,28.8,34.1,80,80,76,81,1,21,31.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 06:25:00","2025-09-16T23:25:00.000Z",2,34,34,4956,456,456,29,29,34.4,79,79,33,30,1,24.4,39.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 15:25:00","2025-09-16T08:25:00.000Z",1,8.4,8.4,1252,418,418,30.8,30.8,37.2,71,71,21,15,1,6.4,8.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 15:20:00","2025-09-16T08:20:00.000Z",1,7.7,7.7,1083,415,415,30.7,30.7,36.9,70,70,21,15,1,5.6,7.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 15:15:00","2025-09-16T08:15:00.000Z",2,7.3,7.3,1116,418,418,30.8,30.8,37.1,71,71,22,16,1,5.7,7.4
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 15:10:00","2025-09-16T08:10:00.000Z",2,9.9,9.9,1426,440,440,30.8,30.8,37.2,71,71,30,27,1,7.4,10.1
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 15:05:00","2025-09-16T08:05:00.000Z",1,10.9,10.9,1570,442,442,30.8,30.8,37.3,71,71,26,22,1,8.4,11.4
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 15:00:00","2025-09-16T08:00:00.000Z",2,12.1,12.1,1720,428,428,30.8,30.8,37.3,71,71,26,22,1,8.8,12.2
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:55:00","2025-09-16T07:55:00.000Z",2,15.7,15.7,2205,446,446,30.7,30.7,37.2,71,71,33,30,1,11.9,16.1
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:50:00","2025-09-16T07:50:00.000Z",1,20.5,20.5,2846,445,445,30.8,30.8,37.6,72,72,35,33,1,15.9,21.2
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:45:00","2025-09-16T07:45:00.000Z",2,21.1,21.1,2845,460,460,30.8,30.8,37.7,72,72,38,36,1,15.5,21.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:40:00","2025-09-16T07:40:00.000Z",2,19.5,19.5,2666,438,438,31,31,38,72,72,28,24,1,14.8,19.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:35:00","2025-09-16T07:35:00.000Z",1,20.6,20.6,2587,420,420,31,31,38.1,72,72,26,22,1,14.8,20.6
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:30:00","2025-09-16T07:30:00.000Z",2,23,23,2994,430,430,30.9,30.9,37.9,72,72,28,24,1,16.7,23.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:25:00","2025-09-16T07:25:00.000Z",2,25.9,25.9,3414,428,428,31,31,38.1,72,72,24,20,1,19.5,26
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:20:00","2025-09-16T07:20:00.000Z",1,27,27,3531,419,419,31,31,38.1,72,72,21,16,1,20,27
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:15:00","2025-09-16T07:15:00.000Z",2,24.8,24.8,3236,420,420,31.1,31.1,38.2,71,71,20,14,1,18.5,24.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:10:00","2025-09-16T07:10:00.000Z",2,29.8,29.8,3781,421,421,31,31,38.3,72,72,20,14,2,21,30.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:05:00","2025-09-16T07:05:00.000Z",1,30.1,30.1,3967,420,420,31,31,38.1,72,72,21,15,1,22.1,31.6
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 14:00:00","2025-09-16T07:00:00.000Z",2,32.3,32.3,4330,416,416,31,31,38,71,71,21,15,1,22.8,34.7
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:55:00","2025-09-16T06:55:00.000Z",2,34.7,34.7,4833,414,414,30.9,30.9,38.2,73,73,22,16,1,24.1,38.9
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:50:00","2025-09-16T06:50:00.000Z",1,30.8,30.8,4156,418,418,30.8,30.8,37.8,72,72,21,15,1,22.2,33.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:45:00","2025-09-16T06:45:00.000Z",2,29.6,29.6,4034,430,430,30.6,30.6,37.1,72,72,26,22,1,21.3,30.6
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:40:00","2025-09-16T06:40:00.000Z",2,30.6,30.6,4111,442,442,30.5,30.5,37,73,73,31,28,1,22,32.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:35:00","2025-09-16T06:35:00.000Z",1,31.2,31.2,4090,452,452,30.5,30.5,37,73,73,33,30,1,22,32.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:30:00","2025-09-16T06:30:00.000Z",2,31.6,31.6,4252,450,450,30.5,30.5,36.8,72,72,33,30,1,22,33.4
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:25:00","2025-09-16T06:25:00.000Z",2,32.8,32.8,4416,452,452,30.5,30.5,37,73,73,38,37,1,23.1,35.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-16 13:20:00","2025-09-16T06:20:00.000Z",1,37.6,37.6,5040,461,461,30.5,30.5,37,73,73,40,39,1,25.1,43.7
